Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1649.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Creative Writing (Minor),Junior,Spring 2022,1148.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Public Health,Junior,Spring 2022,1023.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/French (Minor),Junior,Spring 2022,1062.0,0,1,0,1,3.7
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Spring 2022,1652.0,0,1,0,1,3.7
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Senior,Spring 2022,1658.0,1,0,0,0,4.0
B,B,GRD,Business Administration - Business Administration,Junior,Spring 2022,1203.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,Spring 2022,1842.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1885.0,0,1,0,1,4.0
D-,D-,GRD,Business Administration - Business Administration,Senior,Spring 2022,1129.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Spring 2022,1446.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,2043.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,Spring 2022,1113.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1675.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,1124.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,Spring 2022,1202.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,Spring 2022,1461.0,0,1,0,1,4.0
C-,C-,GRD,Business Administration - Business Administration,Junior,Spring 2022,1108.0,0,1,0,1,1.7
B,B,GRD,Business Administration - Business Administration,Junior,Spring 2022,1942.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor)/Economics (Minor),Junior,Spring 2022,1178.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1238.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,Spring 2022,1913.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,Spring 2022,1346.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration/Psychology (Minor),Senior,Spring 2022,1304.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,Spring 2022,1499.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,Spring 2022,2071.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,Spring 2022,1132.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,1159.0,0,1,0,1,4.0
B-,B-,GRD,Business Administration - Business Administration,Junior,Spring 2022,1109.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1778.0,0,1,0,1,4.0
D,D,GRD,Business Administration - Business Administration/Computer Science (Minor),Senior,Spring 2022,1169.0,1,0,0,1,1.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Spring 2022,1179.0,0,1,0,1,3.3
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,Spring 2022,1003.0,0,1,0,0,2.0
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1399.0,1,0,0,1,3.3
A,A,GRD,College of Arts and Sciences - Economics/Informatics (Minor)/Japanese Studies (Minor),Senior,Spring 2022,1825.0,1,0,0,0,4.0
D,D,GRD,Business Administration - Business Administration,Senior,Spring 2022,1915.0,1,0,0,1,1.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1342.0,1,0,0,1,4.0
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Senior,Spring 2022,1729.0,1,0,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration,Senior,Spring 2022,1565.0,1,0,0,1,3.7
D,D,GRD,Intended - Accounting (intended),Junior,Spring 2022,1237.0,0,1,0,0,1.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,Spring 2022,1931.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1326.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Spring 2022,1274.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor)/Political Science (Minor),Senior,Spring 2022,1131.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,Spring 2022,1276.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Journalism (Minor),Junior,Spring 2022,1665.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Spring 2022,1893.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,Spring 2022,1170.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1406.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Music (Minor),Senior,Spring 2022,1425.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,Spring 2022,1204.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Spring 2022,1273.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1292.0,1,0,0,1,4.0
